ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,37.2906681,36.59607870427367,38.57179154217743,37.2906681,37.2906681,0.33370001935742516,0.33370001935742516,0.33370001935742516,0.33370001935742516,0.33370001935742516,0.33370001935742516,0.0,0.0,0.0,37.62436811935742
2023-01-06,37.2922646243956,36.28372104956178,38.24051748386168,37.2922646243956,37.2922646243956,0.002051323783968153,0.002051323783968153,0.002051323783968153,0.002051323783968153,0.002051323783968153,0.002051323783968153,0.0,0.0,0.0,37.294315948179566
2023-01-17,37.29577697806593,35.9623714887488,38.07993949214959,37.29577697806593,37.29577697806593,-0.2979988030690784,-0.2979988030690784,-0.2979988030690784,-0.2979988030690784,-0.2979988030690784,-0.2979988030690784,0.0,0.0,0.0,36.99777817499685
2023-01-20,37.29673489270329,36.301847138741515,38.29452586076328,37.29673489270329,37.29673489270329,0.002051323783721532,0.002051323783721532,0.002051323783721532,0.002051323783721532,0.002051323783721532,0.002051323783721532,0.0,0.0,0.0,37.29878621648702
2023-01-21,37.29705419758343,36.408551299788485,38.43362292040743,37.29705419758343,37.29705419758343,0.09856749251323448,0.09856749251323448,0.09856749251323448,0.09856749251323448,0.09856749251323448,0.09856749251323448,0.0,0.0,0.0,37.39562169009666
2023-01-27,37.29897002686426,36.32247786754651,38.27727149410006,37.29897002686426,37.29897002686426,0.0020513237836830888,0.0020513237836830888,0.0020513237836830888,0.0020513237836830888,0.0020513237836830888,0.0020513237836830888,0.0,0.0,0.0,37.30102135064794
2023-02-12,37.30407890584376,36.63461134376263,38.69877126526294,37.30407890584376,37.30407890584376,0.33370001935729177,0.33370001935729177,0.33370001935729177,0.33370001935729177,0.33370001935729177,0.33370001935729177,0.0,0.0,0.0,37.637778925201054
2023-02-16,37.30535612558864,36.421499393455306,38.38365212301081,37.30535612558864,37.30535612558864,0.08645416080006428,0.08645416080006428,0.08645416080006428,0.08645416080006428,0.08645416080006428,0.08645416080006428,0.0,0.0,0.0,37.391810286388704
2023-02-17,37.30567543052485,36.33986272618119,38.280067136348144,37.30567543052485,37.30567543052485,0.002051323783758857,0.002051323783758857,0.002051323783758857,0.002051323783758857,0.002051323783758857,0.002051323783758857,0.0,0.0,0.0,37.30772675430861
2023-02-23,37.307591260498164,36.42724131552829,38.38154879174842,37.307591260498164,37.307591260498164,0.08645416079983037,0.08645416079983037,0.08645416079983037,0.08645416079983037,0.08645416079983037,0.08645416079983037,0.0,0.0,0.0,37.394045421297996
2023-02-26,37.30854917548482,36.6954587915437,38.6072923614092,37.30854917548482,37.30854917548482,0.33370001935737637,0.33370001935737637,0.33370001935737637,0.33370001935737637,0.33370001935737637,0.33370001935737637,0.0,0.0,0.0,37.642249194842194
2023-03-03,37.310145700462584,36.320556867817785,38.331537144371275,37.310145700462584,37.310145700462584,0.0020513237840428075,0.0020513237840428075,0.0020513237840428075,0.0020513237840428075,0.0020513237840428075,0.0020513237840428075,0.0,0.0,0.0,37.31219702424663
2023-03-11,37.312970815176456,36.431351037535556,38.42506382008325,37.312970815176456,37.312970815176456,0.09856749251258963,0.09856749251258963,0.09856749251258963,0.09856749251258963,0.09856749251258963,0.09856749251258963,0.0,0.0,0.0,37.41153830768904
2023-03-14,37.31403023319415,36.00200258444802,37.93812289812663,37.31403023319415,37.31403023319415,-0.297998803068831,-0.297998803068831,-0.297998803068831,-0.297998803068831,-0.297998803068831,-0.297998803068831,0.0,0.0,0.0,37.016031430125324
2023-03-16,37.31473651187262,36.386329584570014,38.37420226594205,37.31473651187262,37.31473651187262,0.0864541608000284,0.0864541608000284,0.0864541608000284,0.0864541608000284,0.0864541608000284,0.0864541608000284,0.0,0.0,0.0,37.40119067267265
2023-03-19,37.31600106380378,36.65231031959251,38.64127890292169,37.31600106380378,37.31600106380378,0.33370001935729654,0.33370001935729654,0.33370001935729654,0.33370001935729654,0.33370001935729654,0.33370001935729654,0.0,0.0,0.0,37.64970108316108
2023-03-24,37.31810865035572,36.38211655876329,38.26243190096672,37.31810865035572,37.31810865035572,0.002051323783821416,0.002051323783821416,0.002051323783821416,0.002051323783821416,0.002051323783821416,0.002051323783821416,0.0,0.0,0.0,37.32015997413954
2023-03-30,37.321084243929576,36.45612920785316,38.419204381286896,37.321084243929576,37.321084243929576,0.08645416079977523,0.08645416079977523,0.08645416079977523,0.08645416079977523,0.08645416079977523,0.08645416079977523,0.0,0.0,0.0,37.40753840472935
2023-03-31,37.32158017619189,36.39701593589016,38.2904031830106,37.32158017619189,37.32158017619189,0.0020513237841438578,0.0020513237841438578,0.0020513237841438578,0.0020513237841438578,0.0020513237841438578,0.0020513237841438578,0.0,0.0,0.0,37.32363149997603
2023-04-02,37.322572040716516,36.65292996167185,38.61713286904644,37.322572040716516,37.322572040716516,0.3337000193572007,0.3337000193572007,0.3337000193572007,0.3337000193572007,0.3337000193572007,0.3337000193572007,0.0,0.0,0.0,37.65627206007372
2023-04-12,37.342656303174785,36.179605471880215,38.146576888278574,37.342656303174785,37.342656303174785,-0.20383167616222783,-0.20383167616222783,-0.20383167616222783,-0.20383167616222783,-0.20383167616222783,-0.20383167616222783,0.0,0.0,0.0,37.13882462701255
